title,provide_salary,company_type,company_size,company_ind,attribute
大数据BI高级开发工程师04,2.5-3.5万/月,民营公司,150-500人,快速消费品(食品、饮料、化妆品),"['上海-徐汇区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,1.5-2万/月,国企,少于50人,互联网/电子商务,"['深圳-龙岗区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,0.8-1.5万/月,民营公司,50-150人,计算机软件,"['南京-鼓楼区', '2年经验', '本科', '招若干人']"
大数据软件工程师（Java）,1.5-2.5万/月,民营公司,50-150人,计算机软件,"['上海-浦东新区', '2年经验', '本科', '招3人']"
大数据开发工程师,1-2万/月,民营公司,,计算机软件,"['昆明-西山区', '3-4年经验', '大专', '招3人']"
岗位名称：大数据研发工程师,1-1.5万/月,民营公司,少于50人,计算机软件,"['南京-雨花台区', '3-4年经验', '本科', '招若干人']"
大数据处理工程师,1.5-2万/月,民营公司,150-500人,医疗设备/器械,"['长沙-天心区', '3-4年经验', '本科', '招若干人']"
大数据分析工程师,1-1.5万/月,上市公司,150-500人,计算机服务(系统、数据服务、维修),"['长沙-岳麓区', '3-4年经验', '本科', '招2人']"
软件工程师（JAVA/大数据/WEB）,10-15万/年,国企,5000-10000人,通信/电信/网络设备,"['武汉-江夏区', '1年经验', '本科', '招5人']"
大数据开发高级主任,1.5-2万/月,民营公司,5000-10000人,快速消费品(食品、饮料、化妆品),"['广州', '5-7年经验', '本科', '招1人']"
数据仓库/大数据工程师,0.6-1.2万/月,民营公司,50-150人,计算机软件,"['徐州', '1年经验', '大专', '招2人']"
大数据开发工程师,1-1.7万/月,民营公司,少于50人,计算机软件,"['上海-虹口区', '2年经验', '本科', '招若干人']"
大数据开发工程师,1.2-2万/月,国企,150-500人,计算机软件,"['成都-武侯区', '3-4年经验', '本科', '招10人']"
急聘 大数据开发工程师,1.2-1.5万/月,民营公司,少于50人,通信/电信运营、增值服务,"['上海-浦东新区', '3-4年经验', '大专', '招1人']"
大数据高级开发工程师 （图库方向）,20-30万/年,国企,1000-5000人,通信/电信/网络设备,"['广州', '3-4年经验', '本科', '招1人']"
大数据开发工程师,15-20万/年,国企,150-500人,互联网/电子商务,"['异地招聘', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1.2-1.9万/月,民营公司,50-150人,计算机软件,"['广州-天河区', '3-4年经验', '大专', '招若干人']"
大数据研发工程师（后端开发）,2-3万/月,民营公司,1000-5000人,计算机软件,"['广州-越秀区', '5-7年经验', '本科', '招1人']"
大数据开发工程师,1-1.5万/月,民营公司,50-150人,计算机软件,"['广州-海珠区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1-1.5万/月,外资（欧美）,,计算机软件,"['苏州-姑苏区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1.4-1.8万/月,民营公司,150-500人,互联网/电子商务,"['广州-黄埔区', '2年经验', '本科', '招2人']"
大数据开发工程师,1.5-2万/月,民营公司,150-500人,计算机软件,"['异地招聘', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,1.5-2万/月,民营公司,50-150人,计算机软件,"['深圳-福田区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,1.2-1.8万/月,外资（欧美）,150-500人,专业服务(咨询、人力资源、财会),"['上海', '2年经验', '本科', '招1人']"
大数据平台架构师,3-5万/月,合资,150-500人,互联网/电子商务,"['深圳', '8-9年经验', '本科', '招若干人']"
大数据开发工程师,0.8-1.3万/月,民营公司,50-150人,通信/电信/网络设备,"['广州-天河区', '1年经验', '本科', '招若干人']"
大数据开发工程师（成都）,,民营公司,,计算机软件,"['成都', '本科', '招若干人']"
大数据开发工程师,1-1.3万/月,民营公司,150-500人,互联网/电子商务,"['重庆', '1年经验', '大专', '招若干人']"
大数据开发工程师,1.2-1.5万/月,民营公司,500-1000人,计算机软件,"['深圳-福田区', '2年经验', '本科', '招5人']"
大数据开发工程师,1.3-2万/月,上市公司,500-1000人,计算机软件,"['上海-虹口区', '3-4年经验', '大专', '招2人']"
大数据开发工程师,1-1.5万/月,民营公司,少于50人,计算机软件,"['广州-天河区', '2年经验', '本科', '招1人']"
大数据开发实习生（乌鲁木齐）,,外资（欧美）,,通信/电信/网络设备,"['乌鲁木齐', '本科', '招若干人']"
高级大数据开发工程师,3-4万/月,民营公司,1000-5000人,计算机软件,"['杭州-余杭区', '5-7年经验', '本科', '招1人']"
大数据算法工程师,1.5-2万/月,国企,150-500人,航天/航空,"['西安-长安区', '3-4年经验', '硕士', '招1人']"
大数据工程师,0.8-1.2万/月,民营公司,少于50人,电子技术/半导体/集成电路,"['广州-番禺区', '1年经验', '本科', '招1人']"
大数据工程师,1.5-2万/月,民营公司,50-150人,计算机软件,"['上海-杨浦区', '3-4年经验', '大专', '招1人']"
大数据开发工程师,1-2万/月,民营公司,150-500人,计算机软件,"['南京', '1年经验', '大专', '招2人']"
hadoop大数据工程师,1.2-2万/月,民营公司,少于50人,计算机软件,"['武汉-东湖新技术产业开发区', '3-4年经验', '大专', '招3人']"
大数据开发助理工程师,5-7千/月,民营公司,,快速消费品(食品、饮料、化妆品),"['深圳-南山区', '无需经验', '大专', '招3人']"
大数据开发工程师,1-2万/月,国企,500-1000人,计算机软件,"['南京', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,0.7-1.5万/月,民营公司,5000-10000人,交通/运输/物流,"['杭州-江干区', '2年经验', '大专', '招2人']"
大数据开发工程师,1.2-2.4万/月,民营公司,500-1000人,计算机软件,"['杭州-余杭区', '2年经验', '本科', '招5人']"
大数据开发工程师,1-1.5万/月,合资,少于50人,计算机软件,"['嘉兴', '3-4年经验', '本科', '招2人']"
大数据架构师或开发负责人,2.1-3.5万/月,民营公司,500-1000人,计算机软件,"['杭州', '5-7年经验', '大专', '招3人']"
大数据架构师,2.5-3.5万/月,民营公司,150-500人,互联网/电子商务,"['杭州-拱墅区', '8-9年经验', '本科', '招1人']"
大数据负责人,4-6万/月,民营公司,500-1000人,计算机软件,"['杭州-江干区', '8-9年经验', '本科', '招1人']"
大数据开发工程师,1.2-2.5万/月,民营公司,5000-10000人,互联网/电子商务,"['南京', '3-4年经验', '大专', '招1人']"
大数据开发工程师,0.9-1.5万/月,民营公司,50-150人,计算机软件,"['南京-江宁区', '3-4年经验', '本科', '招2人']"
主任工程师（大数据）,40-60万/年,国企,10000人以上,汽车,"['上海-青浦区', '5-7年经验', '本科', '招1人']"
spark大数据离线开发,1.2-2.2万/月,上市公司,1000-5000人,通信/电信/网络设备,"['南京', '3-4年经验', '本科', '招2人']"
大数据开发主任工程师（数据仓库方向）,1.5-2万/月,上市公司,10000人以上,新能源,"['常州-新北区', '5-7年经验', '本科', '招1人']"
大数据架构师,2.5-3万/月,外资（非欧美）,150-500人,多元化业务集团公司,"['南京-玄武区', '5-7年经验', '本科', '招1人']"
物联网工程、大数据技术教师,4.5-6千/月,民营公司,150-500人,教育/培训/院校,"['异地招聘', '无需经验', '本科', '招6人']"
高级大数据开发工程师,1-1.8万/月,合资,50-150人,互联网/电子商务,"['广州-黄埔区', '3-4年经验', '本科', '招1人']"
车联网大数据应用工程师,0.6-1万/月,合资,150-500人,汽车,"['西安-经济技术开发区', '3-4年经验', '本科', '招1人']"
大数据工程师,0.6-1万/月,上市公司,500-1000人,电子技术/半导体/集成电路,"['西安', '5-7年经验', '本科', '招4人']"
大数据算法工程师,2-4万/月,民营公司,150-500人,计算机软件,"['深圳-南山区', '3-4年经验', '本科', '招1人']"
大数据工程师,1.4-2.5万/月,民营公司,50-150人,计算机软件,"['异地招聘', '无需经验', '硕士', '招1人']"
JAVA工程师(大数据),0.8-1.5万/月,民营公司,500-1000人,计算机软件,"['武汉', '2年经验', '本科', '招1人']"
大数据开发工程师,2-4万/月,民营公司,500-1000人,金融/投资/证券,"['武汉-武昌区', '8-9年经验', '硕士', '招3人']"
大数据开发工程师,6-8千/月,民营公司,150-500人,计算机软件,"['长沙-岳麓区', '2年经验', '本科', '招2人']"
大数据ETL开发（无锡）,1.5-2万/月,民营公司,500-1000人,计算机软件,"['无锡-锡山区', '2年经验', '本科', '招1人']"
大数据开发工程师(J10297),1.1-2万/月,民营公司,500-1000人,房地产,"['成都-武侯区', '5-7年经验', '本科', '招1人']"
电池大数据分析工程师-宜宾-00147,1-2万/月,民营公司,150-500人,机械/设备/重工,"['异地招聘', '3-4年经验', '本科', '招1人']"
大数据平台研发经理,2-2.5万/月,民营公司,50-150人,通信/电信/网络设备,"['上海-徐汇区', '5-7年经验', '本科', '招1人']"
大数据开发工程师,1.5-3万/月,民营公司,500-1000人,互联网/电子商务,"['上海-静安区', '5-7年经验', '本科', '招3人']"
大数据开发工程师,1.5-2万/月,国企,50-150人,贸易/进出口,"['常熟', '3-4年经验', '本科', '招3人']"
大数据开发工程师,1.1-2万/月,民营公司,少于50人,计算机软件,"['苏州-工业园区', '1年经验', '本科', '招1人']"
大数据技术岗（北京）,1-1.5万/月,国企,,银行,"['北京', '硕士', '招若干人']"
产品开发类-大数据开发(A1-2),,事业单位,,计算机服务(系统、数据服务、维修),"['南京', '无需经验', '硕士', '招若干人']"
大数据开发工程师(ETL),0.9-2万/月,民营公司,50-150人,计算机软件,"['北京-朝阳区', '2年经验', '本科', '招1人']"
大数据开发工程师,1.4-2.8万/月,民营公司,5000-10000人,计算机软件,"['南京-雨花台区', '5-7年经验', '本科', '招3人']"
大数据开发讲师,1.5-2万/月,民营公司,50-150人,教育/培训/院校,"['北京-房山区', '3-4年经验', '大专', '招若干人']"
软件开发-大数据（深圳）,,民营公司,,计算机软件,"['深圳', '本科', '招若干人']"
Java开发工程师（大数据开发）,2.5-3.5万/月,民营公司,少于50人,计算机软件,"['深圳-南山区', '5-7年经验', '本科', '招2人']"
大数据开发工程师,,民营公司,,通信/电信/网络设备,"['广州', '本科', '招若干人']"
大数据分析工程师,0.8-1.2万/月,国企,,电子技术/半导体/集成电路,"['泉州', '无需经验', '本科', '招3人']"
大数据开发工程师,1-1.5万/月,民营公司,50-150人,新能源,"['东莞-松山湖区', '5-7年经验', '本科', '招2人']"
大数据开发工程师,1.5-3万/月,民营公司,50-150人,计算机软件,"['上海-徐汇区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,0.9-1.5万/月,民营公司,50-150人,计算机软件,"['南京-江宁区', '3-4年经验', '本科', '招3人']"
大数据开发工程师,1-2万/月,民营公司,10000人以上,计算机软件,"['大连-甘井子区', '3-4年经验', '本科', '招1人']"
Java 大数据开发工程师（汇天）,1.5-3万/月,民营公司,1000-5000人,汽车,"['广州-天河区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1-1.5万/月,民营公司,1000-5000人,服装/纺织/皮革,"['杭州-江干区', '2年经验', '本科', '招1人']"
大数据开发工程师,1-1.8万/月,合资,150-500人,互联网/电子商务,"['广州', '3-4年经验', '本科', '招2人']"
大数据工程师实训生,4.5-6千/月,民营公司,50-150人,互联网/电子商务,"['青岛-市南区', '无需经验', '大专', '招6人']"
大数据应用开发工程师（图像）,1-2万/月,合资,150-500人,计算机软件,"['武汉-洪山区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,1-1.5万/月,民营公司,150-500人,计算机软件,"['异地招聘', '3-4年经验', '大专', '招1人']"
大数据开发,1.1-2万/月,民营公司,50-150人,计算机服务(系统、数据服务、维修),"['上海-静安区', '5-7年经验', '本科', '招1人']"
41072-大数据应用算法工程师（北京）,,民营公司,10000人以上,互联网/电子商务,"['北京', '3-4年经验', '本科', '招1人']"
高级大数据开发工程师 (MJ000018),1.3-2.3万/月,民营公司,150-500人,网络游戏,"['武汉-洪山区', '3-4年经验', '本科', '招2人']"
大数据开发工程师,12-20万/年,合资,150-500人,通信/电信/网络设备,"['异地招聘', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1-2万/月,民营公司,150-500人,通信/电信/网络设备,"['上海-宝山区', '2年经验', '本科', '招2人']"
大数据ETL开发工程师,1.3-2.2万/月,上市公司,1000-5000人,计算机软件,"['上海', '3-4年经验', '本科', '招若干人']"
大数据分析工程师,0.9-1.2万/月,民营公司,150-500人,计算机软件,"['长沙-芙蓉区', '2年经验', '本科', '招若干人']"
大数据部-数据挖掘工程师,1-2万/月,民营公司,150-500人,计算机服务(系统、数据服务、维修),"['长春-高新技术产业开发区', '3-4年经验', '大专', '招3人']"
大数据开发工程师,1-2万/月,民营公司,150-500人,计算机软件,"['上海-闵行区', '3-4年经验', '本科', '招5人']"
大数据开发工程师,2-2.5万/月,国企,500-1000人,金融/投资/证券,"['异地招聘', '2年经验', '本科', '招3人']"
大数据开发组长,1.4-2.5万/月,民营公司,150-500人,计算机软件,"['合肥', '5-7年经验', '本科', '招1人']"
大数据开发工程师,1.2-2万/月,民营公司,少于50人,计算机软件,"['南京-雨花台区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,2-3万/月,民营公司,50-150人,计算机软件,"['济南-高新区', '3-4年经验', '硕士', '招3人']"
大数据开发工程师,1-1.8万/月,民营公司,50-150人,计算机软件,"['上海-闵行区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,0.8-1.2万/月,民营公司,少于50人,计算机软件,"['武汉-洪山区', '3-4年经验', '大专', '招1人']"
高级大数据开发工程师,3-4万/月,外资（欧美）,少于50人,计算机软件,"['深圳-福田区', '5-7年经验', '本科', '招1人']"
技术经理（大数据）,1.2-2万/月,上市公司,1000-5000人,计算机软件,"['西安', '5-7年经验', '本科', '招1人']"
大数据工程师（包三餐+六险一金）,1-1.5万/月,合资,1000-5000人,计算机软件,"['广州-天河区', '1年经验', '本科', '招2人']"
大数据开发工程师,0.7-1.5万/月,民营公司,150-500人,通信/电信运营、增值服务,"['海口-龙华区', '1年经验', '本科', '招1人']"
大数据研发工程师,0.7-1.6万/月,民营公司,少于50人,计算机软件,"['济南-高新区', '1年经验', '本科', '招5人']"
大数据开发助理,1-1.5万/月,民营公司,少于50人,计算机软件,"['上海-黄浦区', '1年经验', '本科', '招若干人']"
大数据开发工程师,0.8-1.5万/月,民营公司,50-150人,计算机软件,"['异地招聘', '3-4年经验', '本科', '招1人']"
大数据研发工程师,1.5-2.5万/月,国企,500-1000人,计算机软件,"['北京-昌平区', '3-4年经验', '本科', '招2人']"
大数据开发工程师,1.3-2.5万/月,上市公司,1000-5000人,酒店/旅游,"['上海-浦东新区', '5-7年经验', '本科', '招1人']"
大数据交换工程师,0.8-1万/月,民营公司,少于50人,医疗/护理/卫生,"['杭州-滨江区', '1年经验', '大专', '招1人']"
大数据高级架构师（成都）,1.2-2.2万/月,国企,150-500人,计算机软件,"['异地招聘', '5-7年经验', '本科', '招1人']"
大数据开发工程师（26）深圳,2-4万/月,上市公司,1000-5000人,计算机软件,"['深圳-福田区', '5-7年经验', '本科', '招10人']"
（西安）大数据架构师,1-1.5万/月,国企,5000-10000人,计算机软件,"['西安-雁塔区', '3-4年经验', '硕士', '招1人']"
中国联通大数据架构师,15-20万/年,国企,10000人以上,专业服务(咨询、人力资源、财会),"['惠州', '3-4年经验', '本科', '招1人']"
大数据开发工程师（知识图谱）,1.5-2.5万/月,上市公司,150-500人,计算机服务(系统、数据服务、维修),"['广州-黄埔区', '1年经验', '本科', '招1人']"
大数据开发工程师,1.5-2万/月,国企,1000-5000人,计算机服务(系统、数据服务、维修),"['上海-静安区', '3-4年经验', '本科', '招2人']"
大数据工程师（高级）,1.1-1.3万/月,国企,150-500人,通信/电信/网络设备,"['武汉-江汉区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1.2-1.8万/月,民营公司,150-500人,计算机软件,"['深圳-南山区', '2年经验', '本科', '招3人']"
(大数据)开发工程师,0.6-1万/月,民营公司,150-500人,计算机软件,"['宁波', '3-4年经验', '本科', '招1人']"
大数据开发工程师,15-20万/年,国企,1000-5000人,通信/电信/网络设备,"['石家庄', '1年经验', '本科', '招3人']"
大数据开发工程师,1-2.5万/月,民营公司,50-150人,网络游戏,"['广州', '3-4年经验', '本科', '招3人']"
python大数据分析工程师,0.8-1.6万/月,民营公司,少于50人,计算机软件,"['海口', '3-4年经验', '本科', '招6人']"
大数据开发工程师,1.5-2万/月,民营公司,500-1000人,计算机服务(系统、数据服务、维修),"['上海', '招1人']"
大数据开发工程师,15-20万/年,国企,150-500人,通信/电信/网络设备,"['武汉-江夏区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师-江苏产互,,上市公司,10000人以上,通信/电信/网络设备,"['南京', '3-4年经验', '本科', '招3人']"
大数据开发工程师,2.5-3万/月,上市公司,1000-5000人,网络游戏,"['广州', '5-7年经验', '本科', '招1人']"
100强通讯公司#大数据工程师#,1.2-2万/月,上市公司,10000人以上,计算机软件,"['深圳-南山区', '2年经验', '本科', '招2人']"
系统架构设计师（大数据方向）,,国企,150-500人,计算机软件,"['北京', '5-7年经验', '本科', '招若干人']"
智能引擎事业部-大数据开发工程师/专家-杭州,,上市公司,10000人以上,互联网/电子商务,"['杭州', '3-4年经验', '本科', '招若干人']"
大数据架构师,1.5-2万/月,外资（非欧美）,500-1000人,计算机软件,"['沈阳', '10年以上经验', '本科', '招1人']"
工业大数据算法专家,3-5万/月,民营公司,10000人以上,通信/电信运营、增值服务,"['北京-海淀区', '5-7年经验', '硕士', '招1人']"
大数据工程师（智能连接部-外包）,35.9-36万/年,国企,500-1000人,通信/电信运营、增值服务,"['上海', '无需经验', '本科', '招若干人']"
大数据开发工程师,0.8-1万/月,合资,1000-5000人,计算机软件,"['长沙-天心区', '1年经验', '大专', '招3人']"
大数据开发工程师,1.5-2.2万/月,外资（非欧美）,500-1000人,多元化业务集团公司,"['杭州-西湖区', '3-4年经验', '本科', '招1人']"
大数据资深开发工程师,3-4万/月,上市公司,10000人以上,互联网/电子商务,"['北京-朝阳区', '3-4年经验', '招1人']"
大数据开发工程师,1.2-2.4万/月,上市公司,10000人以上,影视/媒体/艺术/文化传播,"['深圳', '5-7年经验', '本科', '招2人']"
大数据开发工程师,,外资（欧美）,1000-5000人,专业服务(咨询、人力资源、财会),"['上海', '3-4年经验', '本科', '招若干人']"
应用架构师_大数据(digital),,合资,10000人以上,汽车,"['北京', '1年经验', '招1人']"
大数据工程师,2-3万/月,外资（欧美）,1000-5000人,汽车,"['北京', '5-7年经验', '本科', '招1人']"
系统工程师（大数据） (MJ000289),1-1.5万/月,外资（非欧美）,150-500人,计算机软件,"['无锡', '3-4年经验', '本科', '招1人']"
TU9499-.大数据开发,0.8-1.5万/月,外资（非欧美）,10000人以上,通信/电信/网络设备,"['异地招聘', '3-4年经验', '本科', '招5人']"
大数据研发工程师,,外资（非欧美）,1000-5000人,互联网/电子商务,"['上海', '1年经验', '硕士', '招1人']"
大数据开发工程师,0.8-1.2万/月,民营公司,50-150人,计算机软件,"['福州', '2年经验', '本科', '招1人']"
大数据开发工程师,2-2.5万/月,民营公司,10000人以上,家具/家电/玩具/礼品,"['佛山-顺德区', '8-9年经验', '本科', '招若干人']"
Consultant/Sr. Consultant - 大数据开发 - Cloud COE - Consulting - GDC CQ,,合资,500-1000人,专业服务(咨询、人力资源、财会),"['重庆', '5-7年经验', '本科', '招若干人']"
大数据研发工程师,1.5-2.5万/月,上市公司,10000人以上,酒店/旅游,"['上海-闵行区', '3-4年经验', '本科', '招若干人']"
大数据架构师,1.5-2万/月,外资（欧美）,500-1000人,专业服务(咨询、人力资源、财会),"['大连', '5-7年经验', '本科', '招2人']"
大数据开发工程师,1-2.5万/月,国企,1000-5000人,石油/化工/矿产/地质,"['成都', '1年经验', '本科', '招5人']"
大数据安全管理岗,1.5-2万/月,国企,1000-5000人,通信/电信/网络设备,"['广州-天河区', '2年经验', '本科', '招3人']"
大数据平台架构师,0.8-1.2万/月,事业单位,1000-5000人,电子技术/半导体/集成电路,"['成都-金牛区', '3-4年经验', '硕士', '招若干人']"
研发项目经理（大数据）,1.5-2万/月,上市公司,10000人以上,通信/电信/网络设备,"['武汉-洪山区', '5-7年经验', '本科', '招1人']"
大数据经理,2-2.5万/月,国企,5000-10000人,房地产,"['广州', '3-4年经验', '本科', '招1人']"
大数据开发岗(J10680),1.5-2万/月,国企,5000-10000人,金融/投资/证券,"['上海-静安区', '3-4年经验', '本科', '招若干人']"
2020信息-大数据技术专家,2-3万/月,国企,10000人以上,航天/航空,"['上海-闵行区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,,事业单位,1000-5000人,计算机服务(系统、数据服务、维修),"['上海-嘉定区', '5-7年经验', '硕士', '招2人']"
大数据架构师,1.5-2.5万/月,外资（非欧美）,150-500人,计算机软件,"['大连-沙河口区', '5-7年经验', '本科', '招2人']"
大数据开发工程师（无锡）,1-1.5万/月,国企,1000-5000人,电子技术/半导体/集成电路,"['无锡', '3-4年经验', '硕士', '招若干人']"
大数据开发工程师（中国联通网络AI中心）,20-40万/年,国企,1000-5000人,通信/电信运营、增值服务,"['上海-长宁区', '3-4年经验', '本科', '招若干人']"
资深大数据开发工程师（平台方向）,3-5万/月,上市公司,1000-5000人,互联网/电子商务,"['上海-浦东新区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,20-30万/年,国企,1000-5000人,计算机硬件,"['杭州', '3-4年经验', '本科', '招若干人']"
大数据工程师,2-3.5万/月,外资（欧美）,5000-10000人,计算机硬件,"['北京', '2年经验', '本科', '招1人']"
大数据算法工程师,,上市公司,10000人以上,家具/家电/玩具/礼品,"['青岛', '2年经验', '本科', '招1人']"
大数据开发工程师(J10035),2-2.5万/月,民营公司,5000-10000人,快速消费品(食品、饮料、化妆品),"['上海', '5-7年经验', '硕士', '招1人']"
大数据平台架构师（寰通）,20-30万/年,国企,1000-5000人,制药/生物工程,"['上海-静安区', '5-7年经验', '本科', '招若干人']"
大数据挖掘工程师,2-3万/月,上市公司,1000-5000人,网络游戏,"['上海-徐汇区', '2年经验', '本科', '招1人']"
中级大数据开发工程师（圆通科技）,1.5-2.5万/月,上市公司,10000人以上,交通/运输/物流,"['上海-青浦区', '2年经验', '本科', '招1人']"
大数据开发工程师,1.2-2万/月,民营公司,10000人以上,汽车,"['深圳', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1.5-2万/月,民营公司,1000-5000人,网络游戏,"['厦门', '1年经验', '本科', '招2人']"
大数据开发工程师,30-40万/年,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,"['上海-浦东新区', '8-9年经验', '本科', '招3人']"
大数据分析主管,0.9-1.2万/月,外资（非欧美）,1000-5000人,交通/运输/物流,"['上海-闵行区', '3-4年经验', '本科', '招1人']"
121083中级大数据开发工程师,1.8-3.6万/月,民营公司,10000人以上,电子技术/半导体/集成电路,"['深圳-南山区', '2年经验', '本科', '招若干人']"
大数据主任工程师,,合资,10000人以上,家具/家电/玩具/礼品,"['惠州-仲恺区', '5-7年经验', '本科', '招1人']"
高级大数据工程师,1.7-2.6万/月,外资（非欧美）,10000人以上,快速消费品(食品、饮料、化妆品),"['上海', '3-4年经验', '本科', '招1人']"
大数据开发工程师,0.9-2万/月,民营公司,1000-5000人,网络游戏,"['广州-黄埔区', '无需经验', '招10人']"
大数据开发工程师,1-1.5万/月,合资,50-150人,金融/投资/证券,"['惠州-惠城区', '3-4年经验', '本科', '招若干人']"
大数据平台架构师,3-4万/月,外资（欧美）,500-1000人,餐饮业,"['上海-徐汇区', '5-7年经验', '本科', '招1人']"
大数据开发工程师,1.5-2万/月,合资,10000人以上,计算机软件,"['上海-浦东新区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,1-2万/月,事业单位,150-500人,互联网/电子商务,"['北京', '无需经验', '硕士', '招2人']"
大数据架构师(J16783),2-4万/月,民营公司,5000-10000人,制药/生物工程,"['武汉-洪山区', '5-7年经验', '硕士', '招1人']"
大数据开发,1.2-2.2万/月,合资,1000-5000人,机械/设备/重工,"['长沙-岳麓区', '3-4年经验', '硕士', '招1人']"
大数据应用专家,20-30万/年,合资,10000人以上,机械/设备/重工,"['长沙-长沙县', '3-4年经验', '硕士', '招1人']"
大数据开发工程师,2-2.5万/月,上市公司,1000-5000人,计算机服务(系统、数据服务、维修),"['上海', '5-7年经验', '本科', '招1人']"
大数据基础平台-K8S开发工程师,2.5-4万/月,外资（非欧美）,1000-5000人,互联网/电子商务,"['北京-海淀区', '3-4年经验', '本科', '招2人']"
信息技术部-系统运行经理（大数据方向）,1-1.5万/月,国企,5000-10000人,金融/投资/证券,"['异地招聘', '3-4年经验', '硕士', '招若干人']"
大数据开发工程师,1.4-3万/月,上市公司,500-1000人,网络游戏,"['广州', '2年经验', '本科', '招1人']"
大数据技术专员,4.5-6千/月,上市公司,5000-10000人,影视/媒体/艺术/文化传播,"['广州', '无需经验', '本科', '招1人']"
