top,bookname,click,info,label,type
11,异界之丹武邪尊,1329981,"【总编林冷力荐】【4月18日正式连载，请大家多多支持。】
天穹大陆，弱者卑微，受尽欺辱；强者威武，凌驾众生。
这里的超级强者，能翻江倒海，怒则天地震颤，动则尸横遍野。
秦洛穿越而来，偶获绝世神功，修武道，踏九霄，立天地，破苍穹！
喝最贵的酒，睡最美的女人，拔最快的剑，杀最强的敌手。
边炼丹，边修武，丹武合一张狂笑，邪气凛然我独尊！
异界之丹武邪尊是作者""红双喜本尊""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
12,绝世霸主,1322485,"无所不能的霸主，拥有看穿一切的神眼，淡定的碾压着一切，走上只能站一个人的至尊巅峰。
何谓霸道，不服？何须跟他讲道理浪费唾沫，碾压过去就是了。
何谓霸主？王上加一点，凌驾在诸王之上的，只有这一点！主，在王上！
本书是一本少有的玄幻穿越，而且是强者穿越，并非扮猪吃虎，一开始就无限碾压。
绝世霸主是作者""神霸天""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","争霸,战争,铁血,权谋",玄幻
13,魔焚乾坤,1261329,"他是一个拥有变异属性万中无一的奇特体制，可造化偏偏弄人，他也是一个先天四肢不全无法修炼的倒霉蛋，在这个只有魔法元素的世界里，弱肉强食的法则笼罩了整个魔法世界。
是沉沦，还是崛起，只在一念之间！！！
魔武师等级：魔者·魔师·魔战·魔灵，魔宗·魔尊，魔圣·魔祖·魔王·魔皇·魔帝·魔...
魔焚乾坤是作者""嘹亮的响指""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,奇遇,魔法,废材,复仇,爽文",玄幻
14,九脉至尊,780769,"羸弱少年，携带着九脉天地决，张扬开始了强者之旅！
修炼九脉天地决，挣脱枷锁，主宰万物！
龙脉，虎脉，狮脉，豹脉，狼脉…万兽之脉集于一身！
且看张扬如何在众天才中一飞冲天，傲视群雄，成就万古至尊！

九脉至尊是作者""盛宴""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","奇遇,扮猪吃老虎,热血",玄幻
15,圣斗炼神,633342,"什么，这是圣斗士的世界?
雅典娜是我妹妹?我去，那我岂不是成神了?
浑浑噩噩过了八年却发现自己竟然重生在圣斗士的世界！
漫画中的世界热血激情令人向往，真正的世界却是如此残酷！
为了寻找不知所踪的妹妹，雷蒙毅然踏上了圣斗士之路！
且看雷蒙如何在神奇的正义指环帮助下，成为最强神者！
圣斗炼神是作者""血火""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,召唤,穿越,爽文",玄幻
16,傲天神皇,609009,"涅槃重生，神皇再世！
特种兵杨武魂穿异世，摇身成为仙宗唯一真传弟子。
修灵决，炼武道，灵武双修，君临天下！
踩天才，灭魔宗，收小弟，成就最强神皇之路！
魔修女，灵公主，小师姐，异界美妞一网打尽！
傲天神皇是作者""败墨""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","斗气,争霸,热血",玄幻
17,守护真神,554485,"以守护为使命！
犯我亲友者，无论妖、魔、人、神，皆当诛！
犯我人族者，虽远必诛！诸天万界亦难挡！
浩渺宇宙，一人一剑，夺阴阳，立造化，我为唯一真神！
守护真神是作者""赖小生""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,励志,激情,爽文",玄幻
18,异世之全能风流逍遥,316106,"潜心修炼的叶泽，只要度过百年大劫便可功德圆满，却意外被带入异世，异世大陆光怪陆离、美女如云，叶泽在沉溺温柔乡，但终究面临选择，他是否要放弃美人重返故园？
异世之全能风流逍遥是作者""风流双少""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,后宫,扮猪吃老虎,神兽,穿越,奇异",玄幻
19,重生之霸者无双,290583,"车祸后他居然逆天重生，那么他又会走出一条什么样的霸者之路呢？万千世界，由我主宰！若天阻我，我便破天！我要让天知道，我命由我不由天！ 且看在这片大陆下，他如何称霸天下，万世景仰！
重生之霸者无双是作者""鸿卢""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,争霸,热血,世家",玄幻
20,寻龙之坠,289820,"等待了近十万年的诸神之墓将要开启，十万年前的尘封，到底又隐藏了些什么？一朝揭示，只因为一个人，一个谜一般的孩子，一个拥有龙族血脉，何以引起天机絮乱，斗转星移。盘膝对弈，黑白纵横，以人为棋，揭示命运，究竟将何去何从？诸神之墓中向你开启！
新书去点击，求收藏，推荐。注明：本书起点首发
寻龙之坠是作者""背囊旅行""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
21,魂战天下,262349,"（骨士、骨师、骨灵、骨王）本文不是俗套的废材流，而是天才流！虽然天才无人赏识，甚至就连林毅自己都不知道自己是天才，但金子总有发光的时候！现在主角还很天真，前十万字，一直都会比较天真…… 后期，林毅会慢慢成长，也会越来越有味道。他会成为杀伐决断的大魔头？还是会成为只手遮天的传奇英雄？请大家拭目以待。
魂战天下是作者""百鬼夜行""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,奇遇,励志,激情,爽文",玄幻
22,灵界神座,259772,"一代酒樽，死而复生，穿越到灵界大陆，附生在一个小孩子身上，普普通通的小孩杨晓三带着前世记忆，绝门秘法，开启新纪元。
灵界神座是作者""别吃我的胡萝卜""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,炼丹,奇遇,废材,穿越",玄幻
23,箭霸乾坤,249853,"村庄剧变 ，父母失踪，亲人离散，无助少年卷入异世大陆，是巧合还是阴谋，重重谜团，层层陷阱。懵懂少年自强不息、愤然崛起。看他如何催元神，学箭术，揭谜团，寻至亲，一人一箭舞乾坤！
箭霸乾坤是作者""冷月残月""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
24,不灭天骄,244931,"武者以肉身入道。
脉士以武脉入道。
问苍天谁主沉浮？
且看骆凡如何实现完美的逆袭！
“既然我无法开启武脉，那么我便以肉身为道！将这茫茫大地踩于脚下！”

不灭天骄是作者""天狼""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
25,穿越之异界逍遥,240791,"我本温和，却君临天下；我本善良，却屠戮苍生，我本痴情，却钓美无数！且看异界贵公子如何带领自己的家族走向世界的最巅峰，且看逆境丛丛中，他如何反败为胜！我是小科！欢迎大家走进穿越之异界逍遥！

穿越之异界逍遥是作者""小科""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,争霸,YY,激情,魔幻",玄幻
26,九天龙魂,234810,"神器，灵兽，逆天魂决，咱有！
兄弟，师傅，爱人，咱也有！
掌轮回，破苍穹，咱只看心情！
我不是凡间之龙，我将成为比神魔更强大的存在！我的名字叫--龙彦！
希望各位书友踊跃加入交流群，一起来写九天龙魂！QQ号：328550715
九天龙魂是作者""我的青我的春""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","召唤,热血,张扬,废材,复仇,阵法",玄幻
27,武魂至尊,232973,"在妖兽横行的异界，孱弱的人类如何生存，并且打通三魂七魄，成就无上大能。
奇异的武魂，不能修行，时常晕倒，如何崛起……
莫欺少年穷，打脸要用力！
人有三魂七魄。
一魂为元魂，两魂七魄为辅。
元魂又分兽魂、武魂。
武魂至尊是作者""苏德""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","奇遇,张扬,废材,激情",玄幻
28,傲世苍穹,222258,"悠悠岁月，圣魔大陆流传着这样一句亘古传说……
九转归一生死灭，圣魔重生天地开！
凡圣魔者，骨聚意，脉凝气，以意运气，以气御武……
500年前，他天资平平，那用生命爱着他的女人，最后竟是亲手要了他的命。
500年后，他再世为人，天资惊天，遭逢突变，受尽冷眼与不公，十岁的他挥起长剑，毅然斩下圣殿二殿下的人头。
他怒吼：“全天下的人都能骂我...
傲世苍穹是作者""修少爷""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,穿越,魔幻,神兽,爽文",玄幻
29,洪荒邪尊,203317,"天地初开，鸿蒙初现！
无尽洪荒，万族林立。
不知何时，在洪荒大陆上出现了一种弱小的种族，称之为人族。
人族为女娲所创，乃是后天生灵，肉身羸弱，在满是先天生灵的大陆上备受欺凌。
无奈，只得远离故土，来到了一处贫瘠之地。
历经数万年，只为能重回故土，这一日，不远了！
洪荒邪尊是作者""御风""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,争霸,奇遇,复仇,洪荒,巫妖,鸿钧",玄幻
30,异世之问鼎天下,195840,"九鼎神州，万族林立，群雄并起，谁与争锋！
少年自东荒大草原，踏鲲鹏而出，闯向了那精彩绝伦的大世界。
既然这规则要束缚于我，我就要将它狠狠踩在脚下！
闯江湖，荡武林，踏歌而行。
吾将问鼎天下！
异世之问鼎天下是作者""棋盘天下""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,奇遇,扮猪吃老虎,爽文",玄幻
31,雷武同修,176508,"强者苏醒，乱世来临，此乃大世界也，若不想亡，需与天地斗。
苍天茫然，大道无情，生死轮回，看破世间沉浮。
少年乃英灵转世，享受富贵荣华，天资异禀，实为一代天骄！
且看他争天下，夺造化，破开前世之谜，重铸盖世白君！

雷武同修是作者""佛门十九""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,扮猪吃老虎",玄幻
32,不灭星神,172298,"世界的毁灭，主角重生在了另一个世界，或者说是一个监狱，堪比世界的监狱，历经艰难险阻，主角究竟能否摆脱束缚呢？让《不灭星神》来告诉大家吧！！！
不灭星神是作者""三斤""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,暧昧,争霸,热血,奇遇,YY",玄幻
33,穿越之绝世妖仙,169155,"光洁如玉的的脸上，以肉眼可见的速度长出了白毛。一个毛茸茸的狐狸头赫然的出现在易折的面前。
“啊！妖……妖怪！”易折大叫一声，也顾不得身上的疼痛，连滚带爬的跳下床，跑到门口刚拉开门正准备往出跑，却呆呆的站在原地，不知是该出还是该进…

穿越之绝世妖仙是作者""雪翼""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","奇遇,热血,励志,狐狸精,穿越",玄幻
34,幻魔创世,161032,"神又如何？神若阻我，我必弑神。诛神之后，世界混沌，那又如何？我可杀神，必可创神，问宇宙谁主？唯我幻魔

幻魔创世是作者""尘落""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","暧昧,热血,扮猪吃老虎,斗智,爽文",玄幻
35,灭世神祖,158489,"远古初期，黄帝斩灭十大魔尊，仙界一统大陆，数万年后，仙界离奇消失，华夏王朝支离破碎，上古神宗惊世，
在这拥有传说中的炎黄神话，仙术神通，魔尊后裔，蛮荒妖兽的神奇世界中，韩逸怀着追梦之心，踏上远古征程。
古怪刁难的系统任务，新怡独特修神之路，九死一生的血腥征战，扑朔迷离的仙界之谜。
一剑在手，舍我其谁，天若逆我，我便弑天。
灭世神祖是作者""苦瓜脸""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
36,极道禁书,158322,"神炼大陆，一个修炼神力的世界，在这个世界里面弱者永远只能上演他们的悲剧，唯一只有真正的王者才能够改变定局征服世界。
炎辰，他不与地争，不与天斗，只凭一份信念，在这纷纷大陆走出一片属于自己的天空，走出他的王者征途之路……
极道禁书是作者""巅峰荣耀""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,奇遇,升级练功,位面",玄幻
37,八部传奇,155239,"落魄少年阳义、宇文修，无意卷入江湖是非，结识了惨遭灭门的罗修绝，从此三兄弟开始了逃亡之路······不想此时天下大乱，群魔并起，天帝闭关，神帝重伤不醒，鬼部分裂；四海龙族虎势眈眈。一时间风起云涌····
八部传奇是作者""小虫世界""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
38,逆世无名,152212,"情定几生缘，缠 绵亘古年。血影出，血杀现。血泪飞于面，血战非我愿。梦中泪，随我醉，兄弟来世再相会。埋骨他乡谁与度，异首何方尘归处！待到心感彷徨时，逆世不过一念间！！
逆世无名是作者""无世尘名""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,热血,逆世     杀神",玄幻
39,弑神,146526,"许你前世今生，静待弑神闻世！
寻觅踏破星辰，仇恨怒焚神界！
灾星宇宙大战，无敌掌控世界！
前世你开我心门，今生我入你世界。如今弑神门已立，只待惊天闻世界。神已堕落摄灵魂，为爱踏破全宇宙。神魔之战弑神入，怒火冲天焚神界。灾星灾将灾兵现，宇宙重燃战火时。弑神之威镇天下，灭天征战控世界！
弑神是作者""弑神""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,争霸,奇遇,战争,神兽,爱情",玄幻
40,剑破苍穹,123707,"一剑在手，天下任走！剑在心间，笑傲苍穹……剑之极，逆天杀神！
剑破苍穹是作者""风锋哥""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","争霸,张扬,铁血,热血",玄幻
41,傲世缥缈,120141,"血雨腥风，扬眉淡笑，指问苍穹，谁尚敢与我一战否？
雄鹰下山，猛虎冲天，看我傲世缥缈？

傲世缥缈是作者""潇潇林瑄""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,暧昧,扮猪吃老虎,废材,穿越",玄幻
42,万界魔神,116495,"论潜力，不算天才，可玄功魔技，皆可无师自通。
论实力，任凭你有万千至宝，但定不敌我魔灵大军。
我是谁？天下众生视我为魔神，却不知，我已成万界魔神。

万界魔神是作者""楚轩翼""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,奇遇,血族,青春,争霸",玄幻
43,异界尸皇,114540,"他本是茅山道士，却一不小心被厕所冲走，
莫名奇妙地被卷入了黑暗与光明的斗争中，
一位来自茅山的菜鸟术士，携着《茅山道术》来到一个陌生的大陆，
到底他会在这片不怎么安宁的大陆掀起一阵多大的浪潮？
到底他应该如何在这片毫不熟悉的大陆里争霸，登顶？
一切请期待，全新打造的《异界尸皇》！
异界尸皇是作者""众生无为""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,奇遇,张扬,阵法,激情,爽文",玄幻
44,无上剑道,109248,"真元大陆，宗门林立，强者无数。前世是武道宗师的莫凡穿越到真元大陆，附身在一名落魄氏族少年身上。
修剑道，炼符阵，震苍穹，踏九霄；披荆斩棘，狂风当歌，从此开始一段逆天的修炼狂途。
无上剑道是作者""汉默""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","爽文,传统,废材",玄幻
