seq,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
19,28,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,140,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
20,26,unemployed,single,basic.9y,no,yes,yes,cellular,jul,mon,104,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,0
21,41,unemployed,married,basic.9y,unknown,yes,no,telephone,apr,fri,246,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
22,35,blue-collar,single,unknown,no,no,yes,telephone,jun,fri,1114,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
23,40,admin.,married,university.degree,unknown,yes,no,telephone,jul,wed,340,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
24,32,technician,single,professional.course,no,no,no,cellular,jul,thu,35,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,0
25,41,blue-collar,married,high.school,no,yes,yes,cellular,jul,thu,241,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
26,34,entrepreneur,single,university.degree,no,yes,no,cellular,may,tue,168,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,0
27,49,technician,divorced,unknown,no,yes,yes,cellular,oct,thu,81,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,0
28,37,admin.,married,high.school,no,yes,no,cellular,apr,thu,226,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,0
29,35,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,fri,746,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
30,38,blue-collar,single,basic.4y,unknown,no,no,telephone,jul,tue,41,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0
31,47,services,divorced,high.school,no,no,no,telephone,jun,tue,115,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
32,46,admin.,married,university.degree,no,no,no,cellular,may,thu,227,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
33,27,technician,married,professional.course,no,yes,no,cellular,may,mon,275,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
34,29,technician,married,high.school,no,yes,no,cellular,jun,fri,365,3,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1
35,32,services,divorced,basic.9y,unknown,no,no,cellular,jul,wed,68,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
36,36,blue-collar,married,basic.6y,unknown,no,no,cellular,may,wed,54,1,999,2,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
37,29,blue-collar,married,basic.4y,no,yes,yes,cellular,jul,mon,93,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,0
38,47,technician,married,high.school,unknown,no,no,cellular,apr,mon,267,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
39,44,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,17,25,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
40,54,management,married,university.degree,no,yes,yes,cellular,aug,thu,121,11,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
41,36,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,294,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
42,42,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,24,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
43,44,blue-collar,married,basic.4y,no,no,no,cellular,jul,tue,345,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0
44,72,retired,divorced,basic.6y,no,yes,no,cellular,nov,wed,244,2,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,1
45,48,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,tue,213,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
46,36,management,married,high.school,unknown,yes,no,cellular,nov,thu,371,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
47,35,housemaid,married,basic.4y,no,yes,no,cellular,aug,mon,87,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
48,43,entrepreneur,married,basic.6y,no,yes,no,cellular,may,mon,195,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.354,5099.1,0
49,56,retired,married,basic.4y,unknown,yes,no,cellular,aug,wed,102,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
50,42,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,fri,93,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
51,31,admin.,single,university.degree,no,yes,no,cellular,may,mon,244,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,0
52,32,technician,married,basic.9y,unknown,no,no,telephone,jun,thu,52,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
53,33,blue-collar,married,high.school,unknown,yes,yes,cellular,may,mon,164,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.354,5099.1,0
54,31,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,wed,91,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
55,39,management,married,university.degree,no,yes,no,telephone,may,wed,68,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
56,30,blue-collar,married,high.school,no,no,no,telephone,may,mon,122,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
57,24,management,single,university.degree,no,yes,no,cellular,may,thu,45,4,999,1,failure,-1.8,92.89299999999999,-46.2,1.27,5099.1,0
58,24,admin.,married,high.school,no,no,yes,telephone,may,mon,61,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
59,38,blue-collar,married,professional.course,no,yes,no,telephone,may,wed,162,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
60,26,blue-collar,married,high.school,no,yes,no,telephone,jun,wed,126,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
61,41,technician,married,professional.course,no,no,no,telephone,may,tue,92,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
62,34,admin.,married,high.school,no,yes,yes,cellular,apr,fri,329,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
63,30,management,married,university.degree,no,no,no,cellular,mar,mon,116,1,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,5099.1,1
64,37,admin.,married,university.degree,no,yes,no,cellular,nov,fri,450,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0
65,68,retired,married,basic.4y,no,yes,no,cellular,jul,wed,665,1,999,0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2,0
66,31,admin.,single,high.school,no,no,no,cellular,jul,fri,168,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
67,48,technician,divorced,university.degree,no,yes,no,cellular,apr,thu,132,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
68,33,technician,married,professional.course,no,yes,no,telephone,may,mon,349,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
69,59,self-employed,single,university.degree,no,yes,no,telephone,may,fri,249,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2590000000000001,5099.1,0
70,44,blue-collar,married,unknown,unknown,yes,no,telephone,may,tue,336,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
71,28,unknown,single,unknown,unknown,yes,no,telephone,jun,thu,169,1,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
72,50,management,married,university.degree,no,no,no,cellular,aug,tue,89,3,4,1,success,-2.9,92.20100000000001,-31.4,0.883,5076.2,0
73,33,entrepreneur,married,university.degree,no,no,no,cellular,nov,thu,55,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
74,45,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
75,40,management,married,university.degree,no,no,no,cellular,jul,mon,77,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,0
76,45,services,married,professional.course,no,no,no,telephone,aug,thu,64,18,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
77,43,technician,divorced,university.degree,unknown,no,no,telephone,may,mon,62,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
78,54,blue-collar,married,professional.course,unknown,yes,yes,telephone,may,mon,198,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
79,53,technician,divorced,professional.course,no,no,no,telephone,may,tue,249,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
80,35,self-employed,single,university.degree,no,yes,no,cellular,jul,thu,106,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,0
81,30,technician,single,professional.course,no,yes,no,cellular,aug,fri,445,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
82,25,technician,married,professional.course,no,yes,no,telephone,jun,wed,149,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
83,35,services,divorced,professional.course,no,no,yes,cellular,aug,thu,66,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
84,54,admin.,married,university.degree,no,yes,no,cellular,mar,mon,415,1,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.56,5099.1,1
85,30,blue-collar,married,basic.6y,no,no,no,cellular,jul,mon,173,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,0
86,38,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,173,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
87,35,admin.,married,university.degree,no,yes,no,cellular,oct,thu,86,1,999,1,failure,-3.4,92.431,-26.9,0.74,5017.5,0
88,47,blue-collar,married,professional.course,unknown,yes,no,telephone,may,wed,131,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
89,32,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,523,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
90,27,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,383,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
91,40,blue-collar,married,basic.9y,no,unknown,unknown,telephone,nov,thu,160,1,999,0,nonexistent,-0.1,93.2,-42.0,4.245,5195.8,1
92,31,admin.,married,high.school,no,no,no,telephone,may,mon,220,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
93,42,blue-collar,divorced,basic.9y,no,no,no,cellular,apr,mon,20,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
94,40,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,160,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
95,31,admin.,single,high.school,no,yes,no,cellular,nov,wed,79,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
96,57,technician,married,basic.4y,unknown,no,no,telephone,jun,thu,243,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
97,38,admin.,single,high.school,no,yes,no,cellular,apr,thu,882,1,6,1,success,-1.8,93.749,-34.6,0.659,5008.7,1
98,39,services,married,high.school,unknown,no,no,telephone,may,mon,5,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
99,37,admin.,divorced,high.school,unknown,yes,yes,telephone,may,wed,354,5,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
100,50,unemployed,married,professional.course,unknown,yes,yes,cellular,jul,thu,225,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
101,33,blue-collar,single,basic.4y,no,yes,yes,cellular,apr,thu,460,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
102,41,blue-collar,married,basic.6y,no,unknown,unknown,telephone,jun,tue,202,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
103,37,entrepreneur,married,basic.6y,unknown,unknown,unknown,telephone,may,fri,71,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
104,25,student,single,high.school,no,no,no,cellular,apr,wed,54,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
105,35,admin.,married,high.school,unknown,no,no,cellular,jul,fri,451,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
106,46,management,married,university.degree,no,no,no,cellular,jul,mon,662,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,1
107,29,admin.,divorced,university.degree,no,no,no,telephone,jun,mon,187,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
108,35,admin.,married,university.degree,no,yes,no,cellular,aug,thu,82,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
109,48,entrepreneur,single,professional.course,no,yes,no,cellular,may,wed,606,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
110,31,self-employed,single,university.degree,no,no,no,cellular,oct,fri,76,1,999,0,nonexistent,-3.4,92.431,-26.9,0.73,5017.5,0
111,33,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,thu,18,6,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,0
112,63,retired,divorced,university.degree,no,no,yes,cellular,jul,thu,317,1,999,1,failure,-2.9,92.469,-33.6,1.072,5076.2,0
113,38,admin.,married,high.school,no,yes,no,cellular,nov,tue,67,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
114,34,admin.,divorced,high.school,no,no,no,cellular,nov,tue,492,2,6,3,success,-3.4,92.649,-30.1,0.716,5017.5,0
115,34,services,divorced,high.school,no,no,no,telephone,jul,thu,212,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
116,47,management,married,university.degree,no,yes,no,telephone,may,wed,267,2,3,3,success,-1.8,93.876,-40.0,0.682,5008.7,0
117,27,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
118,24,admin.,single,university.degree,no,no,no,cellular,aug,fri,744,1,999,2,failure,-1.7,94.027,-38.3,0.905,4991.6,1
119,36,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,499,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
120,29,services,single,high.school,unknown,no,no,telephone,jun,mon,123,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
121,58,retired,married,basic.9y,no,yes,no,telephone,jun,mon,198,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
122,40,technician,married,professional.course,no,no,no,cellular,aug,tue,156,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
123,31,admin.,single,university.degree,no,yes,no,cellular,aug,thu,98,8,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
124,60,retired,married,basic.4y,unknown,no,no,cellular,aug,tue,332,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
125,58,housemaid,married,basic.4y,unknown,yes,no,telephone,jul,tue,35,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0
126,32,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,124,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0
127,54,admin.,divorced,university.degree,no,no,no,telephone,jun,tue,213,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
128,43,technician,married,professional.course,unknown,yes,no,cellular,aug,mon,145,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
129,48,retired,married,basic.4y,unknown,no,no,telephone,jun,wed,145,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
130,33,admin.,married,university.degree,no,yes,no,cellular,nov,thu,195,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
131,37,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,mon,179,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,0
132,35,services,divorced,professional.course,unknown,no,no,telephone,may,wed,184,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
133,34,services,married,high.school,no,no,no,telephone,may,thu,285,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
134,30,technician,single,university.degree,no,yes,no,cellular,aug,thu,31,17,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
135,38,admin.,married,basic.9y,unknown,yes,no,telephone,jun,mon,306,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
136,29,technician,divorced,professional.course,unknown,yes,no,cellular,may,fri,14,5,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
137,49,entrepreneur,married,university.degree,no,yes,no,cellular,apr,mon,334,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
138,48,management,divorced,university.degree,no,no,no,cellular,aug,fri,117,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,0
139,33,management,married,high.school,no,yes,no,cellular,jul,wed,155,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
140,33,admin.,single,university.degree,no,yes,yes,telephone,apr,wed,117,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
141,42,management,married,university.degree,no,no,no,telephone,may,fri,206,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
142,39,admin.,married,university.degree,no,no,no,telephone,jun,tue,102,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
143,55,entrepreneur,married,university.degree,unknown,yes,yes,cellular,nov,tue,157,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
144,46,management,married,university.degree,unknown,yes,no,telephone,may,thu,311,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
145,55,blue-collar,divorced,basic.4y,unknown,no,yes,telephone,jun,tue,115,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
146,42,entrepreneur,married,university.degree,no,yes,no,cellular,nov,fri,58,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,0
147,24,student,single,high.school,unknown,yes,no,cellular,may,wed,290,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
148,49,blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,thu,114,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
149,38,admin.,married,unknown,no,no,yes,cellular,jul,wed,311,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
150,34,admin.,married,university.degree,unknown,no,no,cellular,aug,tue,146,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
151,46,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,fri,111,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,0
152,45,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,360,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
153,40,admin.,married,basic.9y,no,yes,no,cellular,jul,thu,106,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,0
154,46,admin.,divorced,basic.9y,unknown,no,no,telephone,may,wed,423,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
155,31,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,350,7,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
156,57,self-employed,married,basic.9y,unknown,yes,yes,telephone,may,tue,122,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
157,36,admin.,married,university.degree,no,no,no,cellular,may,mon,91,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
158,50,technician,married,professional.course,no,unknown,unknown,cellular,nov,tue,319,2,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
159,32,admin.,single,high.school,no,yes,yes,cellular,apr,wed,120,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
160,38,admin.,single,university.degree,no,yes,no,cellular,jul,mon,82,2,999,0,nonexistent,-2.9,92.469,-33.6,0.914,5076.2,0
161,50,admin.,married,university.degree,no,unknown,unknown,cellular,may,wed,801,1,999,1,failure,-1.8,93.876,-40.0,0.682,5008.7,0
162,42,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,168,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
163,31,technician,married,professional.course,no,yes,no,cellular,aug,wed,409,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
164,27,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,120,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0
165,44,self-employed,divorced,high.school,no,yes,no,telephone,jun,mon,123,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
166,26,housemaid,single,high.school,unknown,yes,yes,telephone,jul,thu,127,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
167,30,blue-collar,single,high.school,unknown,yes,no,cellular,may,thu,340,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
168,39,self-employed,single,high.school,no,yes,no,cellular,nov,fri,169,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0
169,64,retired,married,unknown,no,no,no,cellular,aug,fri,252,4,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8490000000000001,5076.2,1
170,36,management,married,university.degree,no,unknown,unknown,cellular,sep,wed,331,1,6,4,failure,-1.1,94.199,-37.5,0.8759999999999999,4963.6,1
171,42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,191,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
172,42,services,single,high.school,no,no,no,cellular,may,thu,122,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
173,40,admin.,divorced,high.school,no,no,no,cellular,jul,wed,1776,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
174,34,services,married,high.school,no,no,yes,cellular,may,wed,362,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
175,31,blue-collar,married,basic.6y,no,yes,yes,telephone,may,thu,237,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
176,49,admin.,single,university.degree,no,no,no,telephone,may,fri,201,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
177,35,unemployed,divorced,basic.9y,no,no,no,cellular,jul,thu,169,7,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,0
178,60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
179,38,admin.,divorced,basic.9y,no,no,no,cellular,nov,fri,271,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0
180,32,management,married,professional.course,no,no,no,cellular,may,thu,125,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,0
181,50,self-employed,married,basic.9y,no,yes,yes,cellular,may,mon,673,6,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1,1
182,41,admin.,married,university.degree,no,yes,no,cellular,apr,fri,961,6,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,1
183,45,admin.,married,high.school,no,no,no,telephone,may,wed,215,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
184,46,blue-collar,married,basic.6y,no,no,yes,telephone,jun,tue,179,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
185,55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
186,33,technician,divorced,professional.course,no,yes,no,telephone,may,fri,44,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
187,45,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,223,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
188,29,blue-collar,married,high.school,no,yes,no,cellular,may,wed,66,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
189,42,technician,married,high.school,unknown,no,no,cellular,jul,wed,252,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,0
190,39,housemaid,married,university.degree,no,yes,no,telephone,may,mon,167,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
